HotelName,City,District,Price,Type,Facilities
Kathmandu Garden Inn,Bardiya,Bardiya,3866,Hotel,"WiFi, Television, Laundry Service"
"Luna, Mcfarland and Brown Hotel",Dhanusha,Dhanusha,8026,Boutique Hotel,"WiFi, Security, Breakfast"
Mountain Sunrise Resort,Udayapur,Udayapur,8393,Serviced Apartment,"Conference Room, Breakfast, Resturant"
Stupa View Inn,Rautahat,Rautahat,3485,Hotel,"Swimming Pool, Laundry Service, Garden"
Nepal Comfort Stay,Chitwan,Chitwan,3678,Villa,"Garden, Swimming Pool, Tea/Coffee Maker"
Santiago Inc Hotel,Okhaldhunga,Okhaldhunga,1639,Hostel,"Breakfast, Tea/Coffee Maker, Air Conditioning"
Ferguson PLC Hotel,Walung,Walung,8410,Serviced Apartment,"Conference Room, Resturant, Television"
"Taylor, Bailey and Norton Hotel",Myagdi,Myagdi,1639,Guest House,"Garden, Resturant, Security"
Everest Base Camp Lodge,Kaski,Kaski,5121,Mountain Lodge,"Parking, Television, Security"
Hotel Janaki Palace,Lalitpur,Lalitpur,6862,Cabin,"Laundry Service, Garden, Room ServiceFamily Rooms"
Anderson-Combs Hotel,Gorkha,Gorkha,1125,Cabin,"Room ServiceFamily Rooms, Resturant, Hot Water"
Eco Himalaya Lodge,Chitwan,Chitwan,1230,Serviced Apartment,"Tea/Coffee Maker, Swimming Pool, Parking"
Valentine and Sons Hotel,Kailali,Kailali,7023,Guest House,"Garden, Security, WiFi"
Lumbini Heritage Hotel,Sarlahi,Sarlahi,3712,Resort,"Resturant, Air Conditioning, Parking"
Cooper-Bailey Hotel,Kanchanpur,Kanchanpur,4602,Lodge,"Garden, Swimming Pool, Air Conditioning"
Coleman Inc Hotel,Bara,Bara,5718,Serviced Apartment,"Room ServiceFamily Rooms, WiFi, Air Conditioning"
Hubbard Inc Hotel,Khotang,Khotang,5424,Resort,"Television, Hot Water, Tea/Coffee Maker"
"Garner, Hudson and Moore Hotel",Jumla,Jumla,7446,Eco-lodge,"Hot Water, Television, Swimming Pool"
Cox-Butler Hotel,Bara,Bara,6864,Homestay,"Hot Water, Parking, Air Conditioning"
"Le, Parker and Haynes Hotel",Dhading,Dhading,1301,Cabin,"Bar, Swimming Pool, Air Conditioning"
Kathmandu Garden Inn,Chitwan,Chitwan,1999,Bed and Breakfast,"Security, Parking, Conference Room"
"Patel, Perry and Wilson Hotel",Terhathum,Terhathum,4082,Lodge,"Hot Water, Tea/Coffee Maker, Room ServiceFamily Rooms"
Mountain Sunrise Resort,Humla,Humla,7112,Guest House,"Swimming Pool, Resturant, WiFi"
"Meyer, Brown and Delgado Hotel",Wardha,Wardha,1113,Resort,"Television, Breakfast, Hot Water"
Lumbini Heritage Hotel,Wardha,Wardha,1579,Eco-lodge,"Conference Room, Air Conditioning, Swimming Pool"
"Weaver, Jones and Zimmerman Hotel",Palpa,Palpa,1505,Hotel,"Garden, Tea/Coffee Maker, Laundry Service"
Nepal Comfort Stay,Gulmi,Gulmi,8947,Serviced Apartment,"Laundry Service, Air Conditioning, Tea/Coffee Maker"
Peaceful Valley Resort,Khotang,Khotang,1998,Eco-lodge,"Bar, Conference Room, Security"
Mercado-Martin Hotel,Pyuthan,Pyuthan,2220,Eco-lodge,"Parking, WiFi, Laundry Service"
Miller-White Hotel,Dolpa,Dolpa,4717,Mountain Lodge,"Air Conditioning, Bar, Laundry Service"
The Yak Lodge,Tanahun,Tanahun,9214,Hostel,"Resturant, Television, Hot Water"
Peterson PLC Hotel,Terhathum,Terhathum,4796,Boutique Hotel,"Bar, Resturant, Garden"
"Blanchard, Arroyo and Bush Hotel",Solukhumbu,Solukhumbu,9877,Serviced Apartment,"Garden, Parking, Tea/Coffee Maker"
Kathmandu Garden Inn,Manang,Manang,7500,Guest House,"Air Conditioning, Conference Room, Parking"
Gutierrez-Flores Hotel,Dhading,Dhading,8517,Serviced Apartment,"Garden, Bar, Security"
Hotel Janaki Palace,Kailali,Kailali,1519,Villa,"WiFi, Resturant, Breakfast"
Long Group Hotel,Banke,Banke,3704,Serviced Apartment,"Parking, Room ServiceFamily Rooms, Air Conditioning"
The Yak Lodge,Rukum West,Rukum West,3449,Boutique Hotel,"Security, Breakfast, Laundry Service"
Mountain Sunrise Resort,Tanahun,Tanahun,1739,Hotel,"Tea/Coffee Maker, Room ServiceFamily Rooms, Breakfast"
Robinson Ltd Hotel,Bhaktapur,Bhaktapur,6171,Homestay,"Security, Air Conditioning, Tea/Coffee Maker"
Everest Base Camp Lodge,Kavrepalanchok,Kavrepalanchok,1315,Hotel,"Bar, Air Conditioning, Television"
Collins-Sparks Hotel,Bara,Bara,5528,Hotel,"Hot Water, WiFi, Parking"
Hotel Buddha,Palpa,Palpa,7437,Lodge,"Bar, Hot Water, Conference Room"
Pollard Group Hotel,Sindhupalchok,Sindhupalchok,7590,Motel,"Parking, Resturant, Television"
Bowen-Garcia Hotel,Morang,Morang,8317,Homestay,"Conference Room, WiFi, Resturant"
Stupa View Inn,Terhathum,Terhathum,4453,Homestay,"Resturant, Hot Water, Security"
Hotel Janaki Palace,Rukum East,Rukum East,4329,Resort,"Television, Laundry Service, Room ServiceFamily Rooms"
Nepal Comfort Stay,Walung,Walung,4726,Cabin,"WiFi, Security, Room ServiceFamily Rooms"
"Evans, Rhodes and Combs Hotel",Wardha,Wardha,8560,Hotel,"Bar, Laundry Service, Television"
Everest Base Camp Lodge,Rautahat,Rautahat,3615,Lodge,"Conference Room, Television, Bar"
Vazquez-Jackson Hotel,Kanchanpur,Kanchanpur,7669,Motel,"WiFi, Bar, Breakfast"
Eco Himalaya Lodge,Wardha,Wardha,3950,Serviced Apartment,"Air Conditioning, Conference Room, Resturant"
Lumbini Heritage Hotel,Lalitpur,Lalitpur,4283,Mountain Lodge,"Resturant, Room ServiceFamily Rooms, Parking"
"Smith, Bishop and Cruz Hotel",Salyan,Salyan,8168,Motel,"Parking, Laundry Service, Security"
Rodriguez Inc Hotel,Sarlahi,Sarlahi,1134,Bed and Breakfast,"Swimming Pool, Security, Conference Room"
"Weaver, Garcia and Copeland Hotel",Dang,Dang,9250,Mountain Lodge,"Laundry Service, WiFi, Security"
"Taylor, Mcfarland and White Hotel",Achham,Achham,9173,Cabin,"Parking, Bar, Conference Room"
Lumbini Heritage Hotel,Mahottari,Mahottari,2833,Eco-lodge,"Air Conditioning, WiFi, Television"
Peaceful Valley Resort,Bhaktapur,Bhaktapur,9233,Guest House,"Breakfast, Television, Laundry Service"
Lumbini Heritage Hotel,Banke,Banke,1860,Villa,"Tea/Coffee Maker, Resturant, Garden"
James LLC Hotel,Chitwan,Chitwan,7068,Boutique Hotel,"Garden, Parking, Laundry Service"
Peaceful Valley Resort,Palpa,Palpa,9815,Serviced Apartment,"Laundry Service, Swimming Pool, Parking"
Martinez Ltd Hotel,Bhojpur,Bhojpur,9336,Homestay,"Air Conditioning, Conference Room, Breakfast"
Annapurna Guest House,Surkhet,Surkhet,3536,Guest House,"Swimming Pool, Bar, Garden"
Gardner-Barnes Hotel,Rupandehi,Rupandehi,3538,Guest House,"Breakfast, Bar, Parking"
"Cruz, Galvan and Davies Hotel",Kaski,Kaski,3713,Bed and Breakfast,"Conference Room, Resturant, Hot Water"
Brooks PLC Hotel,Ilam,Ilam,7436,Villa,"Tea/Coffee Maker, Garden, WiFi"
"Smith, Leblanc and Sullivan Hotel",Dailekh,Dailekh,1520,Lodge,"Parking, Laundry Service, Security"
"Murray, Parker and Stafford Hotel",Banke,Banke,5644,Cabin,"Tea/Coffee Maker, Swimming Pool, Television"
Moore LLC Hotel,Parsa,Parsa,1912,Serviced Apartment,"Tea/Coffee Maker, Room ServiceFamily Rooms, WiFi"
Hotel Janaki Palace,Kalikot,Kalikot,5042,Resort,"Conference Room, Television, Swimming Pool"
Lumbini Heritage Hotel,Gorkha,Gorkha,9250,Eco-lodge,"Hot Water, Garden, Parking"
"Cortez, Warner and Wood Hotel",Rolpa,Rolpa,8402,Guest House,"Tea/Coffee Maker, Parking, Resturant"
Nepal Comfort Stay,Lamjung,Lamjung,5680,Boutique Hotel,"Conference Room, Security, Bar"
"Hughes, Campbell and Bradley Hotel",Jumla,Jumla,1512,Mountain Lodge,"Tea/Coffee Maker, Air Conditioning, Security"
Stupa View Inn,Dhankuta,Dhankuta,4736,Homestay,"Bar, WiFi, Air Conditioning"
Coffey PLC Hotel,Mahottari,Mahottari,1689,Hotel,"Bar, Hot Water, Television"
Pokhara Peace Lodge,Dolakha,Dolakha,9743,Cabin,"Tea/Coffee Maker, Laundry Service, Swimming Pool"
Mountain Sunrise Resort,Dolakha,Dolakha,8114,Guest House,"Resturant, Room ServiceFamily Rooms, Parking"
Kathmandu Garden Inn,Rolpa,Rolpa,3902,Villa,"Swimming Pool, Breakfast, WiFi"
"Smith, Castaneda and Fischer Hotel",Mugu,Mugu,7977,Lodge,"Tea/Coffee Maker, Bar, Conference Room"
Eco Himalaya Lodge,Palpa,Palpa,9697,Lodge,"Conference Room, Air Conditioning, Bar"
Mountain Sunrise Resort,Achham,Achham,9689,Homestay,"Parking, Security, Hot Water"
Pokhara Peace Lodge,Dang,Dang,1728,Guest House,"Breakfast, Garden, WiFi"
Lumbini Heritage Hotel,Doti,Doti,9138,Lodge,"Resturant, Room ServiceFamily Rooms, Bar"
Lyons-Peterson Hotel,Chitwan,Chitwan,2621,Hotel,"Breakfast, Garden, Parking"
"Marshall, House and Cole Hotel",Dang,Dang,6092,Hotel,"Bar, WiFi, Television"
Eco Himalaya Lodge,Sunsari,Sunsari,1679,Mountain Lodge,"Garden, Security, Television"
"Evans, Hughes and Lewis Hotel",Bhaktapur,Bhaktapur,2610,Guest House,"Parking, Conference Room, Hot Water"
Hall-Montgomery Hotel,Kanchanpur,Kanchanpur,4051,Lodge,"Parking, Garden, Tea/Coffee Maker"
Nepal Comfort Stay,Sankhuwasabha,Sankhuwasabha,2298,Cabin,"Television, Bar, WiFi"
Butler-Gaines Hotel,Rukum East,Rukum East,2711,Mountain Lodge,"Laundry Service, Swimming Pool, Security"
Kathmandu Garden Inn,Sankhuwasabha,Sankhuwasabha,1908,Mountain Lodge,"Tea/Coffee Maker, Breakfast, WiFi"
Lara-Newman Hotel,Sindhupalchok,Sindhupalchok,2810,Motel,"Television, Garden, Laundry Service"
Pokhara Peace Lodge,Terhathum,Terhathum,7027,Bed and Breakfast,"WiFi, Parking, Garden"
Swanson-Brewer Hotel,Dolpa,Dolpa,1557,Motel,"Hot Water, Television, Conference Room"
Hotel Janaki Palace,Arghakhanchi,Arghakhanchi,9522,Villa,"Resturant, Swimming Pool, Parking"
Walker Group Hotel,Dolpa,Dolpa,1352,Homestay,"Conference Room, Air Conditioning, Hot Water"
The Yak Lodge,Bhaktapur,Bhaktapur,3134,Villa,"Parking, Television, Conference Room"
Hotel Everest View,Rasuwa,Rasuwa,7734,Hostel,"Hot Water, Room ServiceFamily Rooms, Security"
Robinson Inc Hotel,Ramechhap,Ramechhap,3121,Hotel,"Tea/Coffee Maker, Air Conditioning, Television"
Jenkins Inc Hotel,Wardha,Wardha,9973,Hostel,"Breakfast, Resturant, Conference Room"
Schultz-Morgan Hotel,Tanahun,Tanahun,3602,Guest House,"Room ServiceFamily Rooms, Parking, Security"
Hicks Group Hotel,Manang,Manang,1824,Homestay,"Tea/Coffee Maker, Security, Air Conditioning"
Pokhara Peace Lodge,Dhading,Dhading,5395,Cabin,"Room ServiceFamily Rooms, Swimming Pool, Bar"
Namaste Homestay,Palpa,Palpa,7561,Bed and Breakfast,"Parking, Hot Water, Television"
Himalayan Retreat,Dailekh,Dailekh,3896,Resort,"Bar, Resturant, Garden"
Kathmandu Garden Inn,Palpa,Palpa,2880,Boutique Hotel,"Room ServiceFamily Rooms, Breakfast, Security"
Namaste Homestay,Saptari,Saptari,5790,Serviced Apartment,"Breakfast, Air Conditioning, Swimming Pool"
"Serrano, Garza and Tucker Hotel",Kathmandu,Kathmandu,2706,Guest House,"WiFi, Parking, Laundry Service"
"Davis, Thompson and Powers Hotel",Manang,Manang,5226,Homestay,"Resturant, Swimming Pool, Breakfast"
"Rogers, Perez and Preston Hotel",Dailekh,Dailekh,4565,Eco-lodge,"Bar, Laundry Service, Breakfast"
"Shaw, Sims and Harris Hotel",Dailekh,Dailekh,7096,Hotel,"Conference Room, Swimming Pool, Bar"
Peaceful Valley Resort,Darchula,Darchula,9514,Boutique Hotel,"Swimming Pool, Room ServiceFamily Rooms, Garden"
Namaste Homestay,Kavrepalanchok,Kavrepalanchok,5496,Mountain Lodge,"Laundry Service, Garden, Conference Room"
Eco Himalaya Lodge,Rukum East,Rukum East,6996,Lodge,"Security, Television, Air Conditioning"
Miller-Thompson Hotel,Darchula,Darchula,5970,Hostel,"WiFi, Television, Breakfast"
Villarreal-Wood Hotel,Manang,Manang,3790,Resort,"Conference Room, Tea/Coffee Maker, Garden"
Vega Inc Hotel,Achham,Achham,2023,Cabin,"Television, Tea/Coffee Maker, Laundry Service"
Pokhara Peace Lodge,Makwanpur,Makwanpur,1560,Motel,"Bar, Resturant, Swimming Pool"
Price-Owens Hotel,Dolpa,Dolpa,2336,Bed and Breakfast,"Television, Conference Room, Garden"
Hotel Janaki Palace,Kapilvastu,Kapilvastu,4836,Hotel,"Breakfast, Hot Water, Laundry Service"
Hotel Janaki Palace,Surkhet,Surkhet,2755,Homestay,"Hot Water, Conference Room, Resturant"
Osborne-Flores Hotel,Rukum East,Rukum East,9869,Bed and Breakfast,"Security, Television, Laundry Service"
Lumbini Heritage Hotel,Lamjung,Lamjung,6794,Hotel,"Breakfast, Bar, Laundry Service"
"Hughes, Compton and Graves Hotel",Palpa,Palpa,5361,Homestay,"Room ServiceFamily Rooms, Parking, Resturant"
"Watts, Figueroa and Parker Hotel",Saptari,Saptari,1330,Serviced Apartment,"Resturant, Television, Bar"
Gomez-Delacruz Hotel,Dolakha,Dolakha,4008,Villa,"Breakfast, Hot Water, Parking"
Rose PLC Hotel,Jhapa,Jhapa,1573,Eco-lodge,"Tea/Coffee Maker, WiFi, Resturant"
Hotel Janaki Palace,Chitwan,Chitwan,7874,Hotel,"Air Conditioning, Breakfast, Tea/Coffee Maker"
Johnson Ltd Hotel,Solukhumbu,Solukhumbu,6328,Boutique Hotel,"Conference Room, Garden, Television"
Himalayan Retreat,Bardiya,Bardiya,2254,Villa,"Air Conditioning, Laundry Service, Swimming Pool"
Nepal Comfort Stay,Rolpa,Rolpa,8279,Resort,"Tea/Coffee Maker, Parking, Conference Room"
Wallace Inc Hotel,Sankhuwasabha,Sankhuwasabha,2165,Eco-lodge,"Breakfast, Television, Room ServiceFamily Rooms"
"Lutz, Clay and Walker Hotel",Parsa,Parsa,4663,Eco-lodge,"Hot Water, Breakfast, Television"
Kathmandu Garden Inn,Dolakha,Dolakha,3941,Bed and Breakfast,"Security, Parking, Hot Water"
Pokhara Peace Lodge,Bara,Bara,1614,Bed and Breakfast,"Parking, Security, Hot Water"
Hotel Buddha,Rasuwa,Rasuwa,2308,Cabin,"Security, Tea/Coffee Maker, Garden"
Lane LLC Hotel,Udayapur,Udayapur,6335,Bed and Breakfast,"Air Conditioning, Bar, Tea/Coffee Maker"
"Porter, Dunn and Dixon Hotel",Rautahat,Rautahat,9914,Hotel,"Hot Water, Television, Tea/Coffee Maker"
Baxter-Terry Hotel,Humla,Humla,3970,Hotel,"WiFi, Security, Laundry Service"
Annapurna Guest House,Morang,Morang,8876,Cabin,"Garden, Television, WiFi"
The Yak Lodge,Dailekh,Dailekh,4850,Homestay,"Laundry Service, Parking, Room ServiceFamily Rooms"
Summers Ltd Hotel,Tanahun,Tanahun,2762,Eco-lodge,"Room ServiceFamily Rooms, Conference Room, Air Conditioning"
"Quinn, Keller and Peterson Hotel",Darchula,Darchula,1850,Bed and Breakfast,"Resturant, Television, Swimming Pool"
Jones-Patel Hotel,Rupandehi,Rupandehi,4837,Villa,"Resturant, Laundry Service, Tea/Coffee Maker"
Arellano PLC Hotel,Dadeldhura,Dadeldhura,4472,Bed and Breakfast,"Parking, Television, Bar"
Peaceful Valley Resort,Kavrepalanchok,Kavrepalanchok,7289,Motel,"Conference Room, Swimming Pool, Parking"
Jones LLC Hotel,Dolakha,Dolakha,2792,Motel,"Tea/Coffee Maker, Room ServiceFamily Rooms, Hot Water"
Nepal Comfort Stay,Dhankuta,Dhankuta,8441,Eco-lodge,"Television, Air Conditioning, Room ServiceFamily Rooms"
Hotel Gorkha,Mustang,Mustang,3733,Homestay,"Bar, Parking, Breakfast"
"Butler, Vang and Cross Hotel",Kavrepalanchok,Kavrepalanchok,3014,Hotel,"Hot Water, Breakfast, Air Conditioning"
Hotel Gorkha,Taplejung,Taplejung,2848,Lodge,"Breakfast, Hot Water, Garden"
George Group Hotel,Saptari,Saptari,4616,Cabin,"Laundry Service, Tea/Coffee Maker, Conference Room"
Everest Base Camp Lodge,Kalikot,Kalikot,7124,Hotel,"Conference Room, Room ServiceFamily Rooms, Parking"
Peaceful Valley Resort,Mugu,Mugu,2873,Homestay,"Resturant, Conference Room, Air Conditioning"
Nepal Comfort Stay,Walung,Walung,6388,Hostel,"Conference Room, Breakfast, Garden"
Kathmandu Garden Inn,Gulmi,Gulmi,7999,Villa,"Resturant, Conference Room, Room ServiceFamily Rooms"
Weeks-Mann Hotel,Kavrepalanchok,Kavrepalanchok,2493,Resort,"Bar, Hot Water, Resturant"
"Crawford, Buchanan and Fernandez Hotel",Parbat,Parbat,8672,Motel,"Room ServiceFamily Rooms, Breakfast, Resturant"
Everest Base Camp Lodge,Dailekh,Dailekh,5943,Lodge,"Tea/Coffee Maker, Bar, Swimming Pool"
