From,To,TransportMode,TravelTime_hr,TravelCost_NPR
Tansen,Pokhara,Local Bus,4.0,500
Kathmandu,Hetauda,Local Bus,4.0,400
Hetauda,Kathmandu,Local Bus,4.0,400
Pokhara,Beni,Local Bus,3.0,400
Beni,Pokhara,Local Bus,3.0,400
Kathmandu,Rara Lake,Flight,1.5,12000
Rara Lake,Kathmandu,Flight,1.5,12000
Kathmandu,Biratnagar,Flight,1.0,7000
Biratnagar,Kathmandu,Flight,1.0,7000
Pokhara,Besisahar,Local Bus,3.0,400
Besisahar,Pokhara,Local Bus,3.0,400
Kathmandu,Besisahar,Local Bus,5.0,600
Besisahar,Kathmandu,Local Bus,5.0,600
Tila River Valley,Koshi Barrage,Taxi,5.6,2885
Tila River Valley,Chhimkeshwori Hill,Bus,8.3,2469
Tila River Valley,Arun Valley,Taxi,5.6,3029
Tila River Valley,Chhimkeshwori,Flight,1.6,4557
Tila River Valley,Musikot,Jeep,5.0,2078
Tila River Valley,Panchthar Tea Garden,Taxi,2.9,1489
Tila River Valley,Mohare Danda,Bus,5.4,1217
Tila River Valley,Tribeni Dham,Taxi,7.0,4088
Tila River Valley,Dhaulagiri Base Camp,Jeep,4.8,2554
Tila River Valley,Swayambhunath Stupa,Jeep,5.6,3016
Tila River Valley,Shivapuri Nagarjun National Park,Bus,8.7,2193
Tila River Valley,Chainpur Bazaar,Taxi,5.4,4298
Tila River Valley,Lamjung Himal Base Camp,Bus,8.8,2477
Tila River Valley,Jalbire Waterfall,Jeep,6.1,4162
Tila River Valley,Rani Mahal,Jeep,4.7,3137
Tila River Valley,Kakrebihar,Flight,1.6,3550
Tila River Valley,Silichho Peak,Taxi,3.6,2578
Tila River Valley,Khaireni Hill,Bus,9.0,2546
Tila River Valley,Panchase Hill,Taxi,8.0,5289
Tila River Valley,Jomsom,Flight,0.6,1247
Tila River Valley,Okhaldhunga Memorial Park,Jeep,9.4,5755
Tila River Valley,Baglung Kalika Temple,Bus,9.0,1920
Tila River Valley,Maipokhari,Bus,8.0,2108
Tila River Valley,Ramdhuni Mandir,Taxi,6.6,3648
Tila River Valley,Bhedetar Zipline,Bus,5.5,1624
Tila River Valley,Thabang Village,Jeep,3.1,1554
Tila River Valley,Ridi Bazaar,Bus,7.1,1454
Tila River Valley,Kagbeni,Bus,7.8,2179
Tila River Valley,Khaptad Baba Ashram,Bus,5.3,1413
Tila River Valley,Simikot,Jeep,4.1,2223
Tila River Valley,Rara Lake,Taxi,7.0,5128
Tila River Valley,Badhaiya Tal,Taxi,4.6,3505
Tila River Valley,Rishikesh Complex (Devghat),Jeep,3.5,1586
Tila River Valley,Ghodepani,Bus,8.1,2085
Tila River Valley,Chandannath Temple,Flight,1.3,4982
Tila River Valley,Bishazari Tal,Bus,7.0,1844
Tila River Valley,Hanuman Temple,Jeep,7.5,4332
Tila River Valley,International Mountain Museum,Bus,4.5,1090
Tila River Valley,Madan Ashrit Memorial Park,Bus,8.6,1808
Tila River Valley,Mahaboudha Temple,Bus,8.8,2636
Tila River Valley,Tindhare Waterfall,Bus,6.0,1554
Tila River Valley,Rolpa Martyrs Trail,Bus,4.9,1139
Tila River Valley,Bajura Budhinanda Lake,Bus,8.6,2337
Tila River Valley,Tallo Dungeshwor,Taxi,7.5,5572
Tila River Valley,Tharu Village,Bus,7.4,1528
Tila River Valley,Patal Bhuvaneshwor Cave,Bus,5.5,1393
Tila River Valley,Everest Base Camp,Bus,9.9,2708
Tila River Valley,Ghale Gaun,Bus,5.6,1266
Tila River Valley,Sarangkot,Flight,1.6,3369
Tila River Valley,Dudh Kunda,Jeep,8.1,4355
Tila River Valley,Chhanwa Gumba,Bus,9.1,2114
Tila River Valley,Nuwakot Palace Complex,Jeep,6.6,3326
Tila River Valley,Hiranya Varna Mahavihar,Bus,8.0,2347
Tila River Valley,Sailung,Taxi,4.6,3551
Tila River Valley,Jaleshwor Mahadev Temple,Jeep,5.7,3754
Tila River Valley,Pakhure Pokhari,Taxi,4.7,3669
Tila River Valley,Janaki Mandir,Jeep,4.4,2689
Tila River Valley,Ghodaghodi Lake,Flight,0.4,1107
Tila River Valley,Maula Kalika Temple,Jeep,8.7,5571
Tila River Valley,Laprak,Bus,5.6,1149
Tila River Valley,Simraungadh Ruins,Jeep,3.8,2643
Tila River Valley,Panch Pokhari,Bus,7.3,1519
Tila River Valley,Pathibhara Devi Temple,Flight,1.0,3550
Tila River Valley,Dodhara Chandani Bridge,Bus,8.7,2002
Tila River Valley,Baraha Kshetra,Bus,9.8,2822
Tila River Valley,Baraha Pokhari,Bus,9.1,1954
Tila River Valley,Sisne Himal,Jeep,3.9,2221
Tila River Valley,Gokyo Lakes,Flight,1.2,4049
Tila River Valley,Daunne Hill,Taxi,3.6,2644
Tila River Valley,Birgunj Clock Tower,Bus,5.7,1589
Tila River Valley,Shey Phoksundo Lake,Bus,6.8,1917
Tila River Valley,Gorkha Durbar,Jeep,9.0,5634
Tila River Valley,Temke Dada,Taxi,4.6,2663
Tila River Valley,Bhimsen Temple,Taxi,7.6,4095
Tila River Valley,Guerrilla Trek,Bus,8.0,1841
Tila River Valley,Bungamati Village,Jeep,3.5,2119
Tila River Valley,Poon Hill,Taxi,6.3,3418
Tila River Valley,Chamunda Temple,Jeep,3.4,1895
Tila River Valley,Sitalpati Market,Bus,4.3,955
Tila River Valley,Ashoka Pillar,Taxi,7.5,4898
Tila River Valley,World Peace Pagoda,Bus,9.0,2371
Tila River Valley,Kapuche Glacier Lake,Taxi,3.9,2698
Tila River Valley,Tatopani,Bus,5.8,1304
Tila River Valley,Boudhanath Stupa,Flight,1.1,4305
Tila River Valley,Rukumkot,Bus,5.1,1091
Tila River Valley,Makalu Base Camp,Jeep,6.6,4234
Tila River Valley,Hetauda Martyrs Park,Taxi,7.4,5494
Tila River Valley,Balmiki Ashram,Bus,8.0,1604
Tila River Valley,Salpa Pokhari,Bus,4.5,1269
Tila River Valley,Chhintang,Bus,5.1,1153
Tila River Valley,Bhairahawa Buddha Park,Taxi,3.8,2571
Tila River Valley,Barpak,Bus,6.7,1640
Tila River Valley,Gorkha Museum,Bus,5.7,1419
Tila River Valley,Dhulikhel View Tower,Bus,9.5,2412
Tila River Valley,Pashupatinath Temple,Bus,7.8,2007
Tila River Valley,Api Base Camp,Taxi,3.8,2047
Tila River Valley,Trishuli River View,Bus,9.5,2448
Tila River Valley,Soti Khola,Bus,4.4,1229
Tila River Valley,Bindabasini Temple (Bandipur),Bus,4.5,1152
Tila River Valley,Sailung Danda,Bus,9.4,2263
Tila River Valley,Chepang Hill Trail,Bus,5.0,1245
Tila River Valley,Mallaj,Taxi,7.2,4077
Tila River Valley,Barpak Village,Bus,7.4,2029
Tila River Valley,Lete,Bus,4.9,995
Tila River Valley,Sundarijal,Bus,4.6,1212
Tila River Valley,Triveni Dham,Bus,10.1,2098
Tila River Valley,Koshi Tappu Wildlife Reserve,Jeep,8.3,4622
Tila River Valley,Nyatapola Temple,Jeep,7.1,3236
Tila River Valley,Antu Danda,Bus,7.4,2007
Tila River Valley,Khokana,Bus,8.1,2324
Tila River Valley,Badimalika Temple,Jeep,8.6,5876
Tila River Valley,Diktel Bazaar,Flight,0.8,2803
Tila River Valley,Bhairabi Temple,Taxi,6.0,3930
Tila River Valley,Lumbini - Birthplace of Buddha,Flight,0.8,2495
Tila River Valley,Saipal Base Camp,Bus,4.4,886
Tila River Valley,Tsho Rolpa Lake,Bus,4.5,1011
Tila River Valley,Rupa Lake,Bus,7.8,2077
Tila River Valley,Bandipur,Taxi,7.9,5632
Tila River Valley,Dhorpatan Valley,Bus,9.2,2334
Tila River Valley,Kushma Cliff Bridge,Bus,7.6,1768
Tila River Valley,Naag Pokhari,Bus,5.5,1513
Tila River Valley,Chitwan National Park,Bus,5.8,1531
Tila River Valley,Budhi Gandaki Valley,Bus,5.4,1386
Tila River Valley,Elephant Breeding Center,Taxi,5.3,3184
Tila River Valley,Lwang Ghalel Village,Bus,4.1,1139
Tila River Valley,Shree Antu Sunrise Point,Bus,9.1,2561
Tila River Valley,Baundeshwor Cave,Taxi,7.3,4018
Tila River Valley,Rupa Tal,Jeep,5.3,2622
Tila River Valley,Kulekhani Reservoir,Jeep,6.6,3823
Tila River Valley,Chandragiri Hills,Taxi,6.8,3997
Tila River Valley,Siddha Gufa,Bus,9.3,2157
Tila River Valley,Dattatreya Temple,Bus,6.8,1708
Tila River Valley,Aathbish Danda,Bus,5.6,1679
Tila River Valley,Rangeli,Bus,4.7,957
Tila River Valley,Kalinchowk,Jeep,4.5,2364
Tila River Valley,Panauti,Taxi,6.4,3617
Tila River Valley,Patan Durbar Square,Jeep,8.2,3803
Tila River Valley,Lo Manthang,Flight,1.3,2864
Tila River Valley,Champadevi Hill,Bus,9.1,2212
Tila River Valley,Pulchowki Hill,Bus,8.5,2482
Tila River Valley,Muktinath Temple,Flight,0.9,2185
Tila River Valley,Manaslu Base Camp,Jeep,8.2,4585
Tila River Valley,Dharan Clock Tower,Bus,7.2,1611
Tila River Valley,Tansen Bazaar,Bus,5.6,1520
Tila River Valley,Syarpu Lake,Taxi,8.0,5394
Tila River Valley,Ranighat Palace,Jeep,7.3,3103
Tila River Valley,Siddhi Binayak,Jeep,8.5,4318
Tila River Valley,Deurali Gumba,Bus,6.6,1816
Tila River Valley,Bageshwori Temple,Flight,1.5,5846
Tila River Valley,Resunga,Flight,0.7,2548
Tila River Valley,Tamang Heritage Trail,Flight,0.6,1819
Tila River Valley,Taudaha Lake,Bus,8.7,2507
Tila River Valley,Ram Mandir,Jeep,8.6,4368
Tila River Valley,Bhaktapur Durbar Square,Flight,0.4,1078
Tila River Valley,Bardia National Park,Bus,4.2,1230
Tila River Valley,Bhairav Kunda,Jeep,7.5,4840
Tila River Valley,Gupteshwor Cave,Bus,6.0,1707
Tila River Valley,Bindhyabasini Temple,Bus,4.5,1083
Tila River Valley,Dakshinkali Temple,Bus,5.1,1293
Tila River Valley,Bhojpur Bazaar,Bus,4.6,994
Tila River Valley,Khaptad National Park,Bus,9.7,2423
Tila River Valley,Palung Valley,Bus,6.5,1937
Tila River Valley,Sirubari,Bus,6.2,1267
Tila River Valley,Phulchowki Botanical Garden,Jeep,2.8,1918
Tila River Valley,Numbur Cheese Circuit,Taxi,5.7,3897
Tila River Valley,Dhorpatan Hunting Reserve,Bus,7.4,1956
Tila River Valley,Charikot,Bus,4.7,984
Tila River Valley,Siruwa Pokhari,Bus,4.8,1215
Tila River Valley,Tatopani Hot Spring,Bus,7.6,1752
Tila River Valley,Piple Hill,Bus,10.0,2996
Tila River Valley,Kali Gandaki Gorge,Bus,8.1,1672
Tila River Valley,Tilicho Lake,Bus,9.1,2572
Tila River Valley,Bhanbhane Pokhari,Bus,9.4,2437
Tila River Valley,Simbuwa Khola Valley,Flight,1.2,3846
Tila River Valley,Langtang National Park,Flight,1.0,2826
Tila River Valley,Kangchenjunga Base Camp,Bus,8.7,1774
Tila River Valley,Bhotekoshi Bungee Jump,Jeep,6.1,3457
Tila River Valley,Bhujung Village,Flight,1.2,4377
Tila River Valley,Manakamana Temple,Bus,4.3,1253
Tila River Valley,Sandakpur,Flight,1.0,3331
Tila River Valley,Shuklaphanta National Park,Bus,3.6,981
Tila River Valley,Chobhar Gorge,Taxi,7.1,5347
Tila River Valley,Belbari Forest,Bus,8.3,1921
Tila River Valley,Tengboche Monastery,Taxi,6.2,3671
Tila River Valley,Namche Bazaar,Bus,10.2,2548
Tila River Valley,Ruru Kshetra,Taxi,5.7,3486
Tila River Valley,Chhahara Waterfall,Jeep,4.0,1650
Tila River Valley,Maya Devi Temple,Taxi,4.0,2606
Tila River Valley,Bhedetar View Tower,Bus,9.4,2100
Tila River Valley,Davis Falls,Bus,6.2,1688
Tila River Valley,Salyan Khalanga,Bus,5.2,1452
Tila River Valley,Hanuman Dhoka,Bus,6.7,1799
Tila River Valley,Khandadevi Temple,Jeep,3.5,1557
Tila River Valley,Khopra Danda,Flight,0.9,2569
Tila River Valley,Garden of Dreams,Jeep,7.4,4338
Tila River Valley,Siddha Cave,Bus,7.3,1497
Tila River Valley,Kanyam Tea Garden,Bus,6.4,1803
Tila River Valley,Kamalbari Lake,Flight,0.5,1733
Tila River Valley,Thakurdwara,Taxi,4.6,2484
Tila River Valley,Phewa Lake,Bus,5.7,1503
Tila River Valley,Kapilvastu Ruins,Bus,5.4,1361
Tila River Valley,Ringmo Village,Bus,6.7,1802
Tila River Valley,Nuwakot Trishuli Dam,Bus,9.1,2148
Tila River Valley,Nepalgunj,Bus,8.7,2034
Tila River Valley,Gahawa Mai Temple,Bus,7.6,1979
Tila River Valley,Namobuddha,Bus,4.6,1188
Tila River Valley,Panchakanya Hill,Bus,5.1,1502
Tila River Valley,Tsum Valley,Bus,8.4,2019
Tila River Valley,Nagi Village,Jeep,7.0,4452
Tila River Valley,Pakuwal Lake,Taxi,5.8,3546
Tila River Valley,Gaurishankar Conservation Area,Bus,6.9,1762
Tila River Valley,Narchyang Waterfall,Jeep,4.1,1990
Tila River Valley,Swargadwari,Taxi,6.0,4507
Tila River Valley,Ramaroshan Wetland,Taxi,4.2,3133
Tila River Valley,Gosaikunda,Flight,1.0,2996
Tila River Valley,Rani Pokhari,Taxi,7.5,5809
Tila River Valley,Begnas Lake,Flight,0.9,2451
Tila River Valley,Seti River Gorge,Bus,6.8,1835
Tila River Valley,Nagarjun Forest,Bus,7.1,1536
Tila River Valley,Banskharka Orange Farm,Bus,7.2,1827
Tila River Valley,Kharpunath,Taxi,5.9,3960
Koshi Barrage,Tila River Valley,Bus,10.1,2702
Koshi Barrage,Chhimkeshwori Hill,Flight,0.1,249
Koshi Barrage,Arun Valley,Bus,9.8,2386
Koshi Barrage,Chhimkeshwori,Taxi,4.8,2486
Koshi Barrage,Musikot,Bus,7.0,1775
Koshi Barrage,Panchthar Tea Garden,Bus,5.3,1240
Koshi Barrage,Mohare Danda,Bus,4.1,1024
Koshi Barrage,Tribeni Dham,Bus,7.0,1872
Koshi Barrage,Dhaulagiri Base Camp,Bus,5.9,1696
Koshi Barrage,Swayambhunath Stupa,Jeep,8.8,5025
Koshi Barrage,Shivapuri Nagarjun National Park,Bus,5.9,1345
Koshi Barrage,Chainpur Bazaar,Bus,6.7,1616
Koshi Barrage,Lamjung Himal Base Camp,Bus,5.3,1282
Koshi Barrage,Jalbire Waterfall,Flight,1.5,4624
Koshi Barrage,Rani Mahal,Bus,5.4,1608
Koshi Barrage,Kakrebihar,Jeep,7.1,3706
Koshi Barrage,Silichho Peak,Bus,9.5,1979
Koshi Barrage,Khaireni Hill,Jeep,7.7,3080
Koshi Barrage,Panchase Hill,Bus,9.4,2186
Koshi Barrage,Jomsom,Jeep,9.3,5267
Koshi Barrage,Okhaldhunga Memorial Park,Bus,4.1,1026
Koshi Barrage,Baglung Kalika Temple,Bus,7.5,2247
Koshi Barrage,Maipokhari,Bus,5.6,1140
Koshi Barrage,Ramdhuni Mandir,Bus,9.7,2148
Koshi Barrage,Bhedetar Zipline,Bus,4.8,973
Koshi Barrage,Thabang Village,Bus,9.0,2430
Koshi Barrage,Ridi Bazaar,Bus,6.5,1572
Koshi Barrage,Kagbeni,Bus,4.0,1010
Koshi Barrage,Khaptad Baba Ashram,Bus,7.0,1543
Koshi Barrage,Simikot,Bus,9.6,2321
Koshi Barrage,Rara Lake,Bus,6.9,1991
Koshi Barrage,Badhaiya Tal,Bus,9.1,1995
Koshi Barrage,Rishikesh Complex (Devghat),Bus,9.3,2727
Koshi Barrage,Ghodepani,Bus,9.7,2484
Koshi Barrage,Chandannath Temple,Bus,9.6,2067
Koshi Barrage,Bishazari Tal,Flight,1.3,2977
Koshi Barrage,Hanuman Temple,Bus,5.1,1501
Koshi Barrage,International Mountain Museum,Bus,8.2,2215
Koshi Barrage,Madan Ashrit Memorial Park,Jeep,3.7,1886
Koshi Barrage,Mahaboudha Temple,Jeep,5.3,2340
Koshi Barrage,Tindhare Waterfall,Bus,8.6,1780
Koshi Barrage,Rolpa Martyrs Trail,Bus,8.7,2012
Koshi Barrage,Bajura Budhinanda Lake,Bus,7.0,1870
Koshi Barrage,Tallo Dungeshwor,Bus,7.4,2162
Koshi Barrage,Tharu Village,Bus,4.8,1232
Koshi Barrage,Patal Bhuvaneshwor Cave,Bus,7.4,1945
Koshi Barrage,Everest Base Camp,Taxi,4.2,2568
Koshi Barrage,Ghale Gaun,Taxi,5.0,2806
Koshi Barrage,Sarangkot,Taxi,8.2,6045
Koshi Barrage,Dudh Kunda,Taxi,5.7,3648
Koshi Barrage,Chhanwa Gumba,Bus,6.5,1446
Koshi Barrage,Nuwakot Palace Complex,Jeep,3.8,1997
Koshi Barrage,Hiranya Varna Mahavihar,Flight,0.7,2629
Koshi Barrage,Sailung,Bus,7.0,1861
Koshi Barrage,Jaleshwor Mahadev Temple,Bus,5.7,1530
Koshi Barrage,Pakhure Pokhari,Jeep,8.0,4499
Koshi Barrage,Janaki Mandir,Bus,9.9,2901
Koshi Barrage,Ghodaghodi Lake,Taxi,7.4,4630
Koshi Barrage,Maula Kalika Temple,Taxi,5.6,4223
Koshi Barrage,Laprak,Jeep,4.6,1924
Koshi Barrage,Simraungadh Ruins,Bus,9.5,2630
Koshi Barrage,Panch Pokhari,Jeep,8.6,4240
Koshi Barrage,Pathibhara Devi Temple,Bus,5.4,1176
Koshi Barrage,Dodhara Chandani Bridge,Bus,6.7,1845
Koshi Barrage,Baraha Kshetra,Jeep,5.9,3082
Koshi Barrage,Baraha Pokhari,Jeep,4.3,2565
Koshi Barrage,Sisne Himal,Taxi,4.6,3085
Koshi Barrage,Gokyo Lakes,Bus,8.0,2047
Koshi Barrage,Daunne Hill,Jeep,5.1,2459
Koshi Barrage,Birgunj Clock Tower,Bus,4.1,1199
Koshi Barrage,Shey Phoksundo Lake,Bus,6.6,1331
Koshi Barrage,Gorkha Durbar,Bus,7.1,2042
Koshi Barrage,Temke Dada,Jeep,7.6,3065
Koshi Barrage,Bhimsen Temple,Jeep,5.4,3487
Koshi Barrage,Guerrilla Trek,Taxi,5.7,3842
Koshi Barrage,Bungamati Village,Jeep,4.1,2088
Koshi Barrage,Poon Hill,Taxi,5.5,3074
Koshi Barrage,Chamunda Temple,Bus,8.0,2056
Koshi Barrage,Sitalpati Market,Flight,1.4,4419
Koshi Barrage,Ashoka Pillar,Bus,3.8,945
Koshi Barrage,World Peace Pagoda,Taxi,2.9,2288
Koshi Barrage,Kapuche Glacier Lake,Flight,1.5,3789
Koshi Barrage,Tatopani,Taxi,3.7,2021
Koshi Barrage,Boudhanath Stupa,Bus,4.3,959
Koshi Barrage,Rukumkot,Flight,0.8,1661
Koshi Barrage,Makalu Base Camp,Bus,6.6,1874
Koshi Barrage,Hetauda Martyrs Park,Bus,9.0,2037
Koshi Barrage,Balmiki Ashram,Bus,5.9,1279
Koshi Barrage,Salpa Pokhari,Jeep,4.4,2620
Koshi Barrage,Chhintang,Flight,0.6,1318
Koshi Barrage,Bhairahawa Buddha Park,Bus,6.6,1397
Koshi Barrage,Barpak,Jeep,8.5,5389
Koshi Barrage,Gorkha Museum,Jeep,5.2,2401
Koshi Barrage,Dhulikhel View Tower,Bus,6.8,1417
Koshi Barrage,Pashupatinath Temple,Taxi,4.8,3150
Koshi Barrage,Api Base Camp,Bus,7.7,1680
Koshi Barrage,Trishuli River View,Jeep,8.0,3566
Koshi Barrage,Soti Khola,Bus,5.1,1219
Koshi Barrage,Bindabasini Temple (Bandipur),Flight,1.9,5990
Koshi Barrage,Sailung Danda,Jeep,6.4,3668
Koshi Barrage,Chepang Hill Trail,Jeep,5.6,2775
Koshi Barrage,Mallaj,Flight,1.3,2639
Koshi Barrage,Barpak Village,Bus,6.5,1430
Koshi Barrage,Lete,Bus,4.8,1037
Koshi Barrage,Sundarijal,Bus,8.1,2047
Koshi Barrage,Triveni Dham,Jeep,4.9,2081
Koshi Barrage,Koshi Tappu Wildlife Reserve,Jeep,8.2,5641
Koshi Barrage,Nyatapola Temple,Taxi,8.0,5882
Koshi Barrage,Antu Danda,Bus,4.8,1271
Koshi Barrage,Khokana,Bus,8.7,1770
Koshi Barrage,Badimalika Temple,Jeep,7.0,3639
Koshi Barrage,Diktel Bazaar,Bus,5.1,1409
Koshi Barrage,Bhairabi Temple,Taxi,7.4,4813
Koshi Barrage,Lumbini - Birthplace of Buddha,Flight,1.5,5715
Koshi Barrage,Saipal Base Camp,Flight,1.3,2958
Koshi Barrage,Tsho Rolpa Lake,Taxi,3.7,2159
Koshi Barrage,Rupa Lake,Taxi,6.9,4721
Koshi Barrage,Bandipur,Bus,4.7,1100
Koshi Barrage,Dhorpatan Valley,Taxi,5.9,4139
Koshi Barrage,Kushma Cliff Bridge,Taxi,5.5,3411
Koshi Barrage,Naag Pokhari,Bus,8.2,2195
Koshi Barrage,Chitwan National Park,Bus,4.8,1030
Koshi Barrage,Budhi Gandaki Valley,Bus,8.1,1621
Koshi Barrage,Elephant Breeding Center,Bus,9.8,2481
Koshi Barrage,Lwang Ghalel Village,Jeep,6.6,3070
Koshi Barrage,Shree Antu Sunrise Point,Jeep,4.1,2261
Koshi Barrage,Baundeshwor Cave,Bus,8.4,2428
Koshi Barrage,Rupa Tal,Flight,0.6,1777
Koshi Barrage,Kulekhani Reservoir,Flight,1.1,3571
Koshi Barrage,Chandragiri Hills,Jeep,8.8,6135
Koshi Barrage,Siddha Gufa,Bus,6.3,1752
Koshi Barrage,Dattatreya Temple,Bus,6.1,1786
Koshi Barrage,Aathbish Danda,Jeep,7.8,4551
Koshi Barrage,Rangeli,Taxi,7.1,5394
Koshi Barrage,Kalinchowk,Bus,6.5,1703
Koshi Barrage,Panauti,Bus,8.6,2205
Koshi Barrage,Patan Durbar Square,Jeep,9.2,6244
Koshi Barrage,Lo Manthang,Taxi,4.1,2875
Koshi Barrage,Champadevi Hill,Taxi,4.7,3739
Koshi Barrage,Pulchowki Hill,Taxi,4.8,2950
Koshi Barrage,Muktinath Temple,Jeep,5.6,3792
Koshi Barrage,Manaslu Base Camp,Bus,4.2,1119
Koshi Barrage,Dharan Clock Tower,Taxi,3.8,2634
Koshi Barrage,Tansen Bazaar,Jeep,5.1,2197
Koshi Barrage,Syarpu Lake,Bus,8.6,2357
Koshi Barrage,Ranighat Palace,Bus,5.9,1288
Koshi Barrage,Siddhi Binayak,Bus,6.8,1590
Koshi Barrage,Deurali Gumba,Bus,4.6,1354
Koshi Barrage,Bageshwori Temple,Taxi,7.2,4022
Koshi Barrage,Resunga,Flight,1.1,2572
Koshi Barrage,Tamang Heritage Trail,Bus,7.8,1850
Koshi Barrage,Taudaha Lake,Bus,4.6,1030
Koshi Barrage,Ram Mandir,Bus,10.0,2919
Koshi Barrage,Bhaktapur Durbar Square,Bus,9.2,2253
Koshi Barrage,Bardia National Park,Jeep,6.6,3868
Koshi Barrage,Bhairav Kunda,Bus,5.3,1247
Koshi Barrage,Gupteshwor Cave,Jeep,3.1,1526
Koshi Barrage,Bindhyabasini Temple,Taxi,4.2,2894
Koshi Barrage,Dakshinkali Temple,Flight,0.8,2235
Koshi Barrage,Bhojpur Bazaar,Bus,7.1,1653
Koshi Barrage,Khaptad National Park,Flight,1.4,4064
Koshi Barrage,Palung Valley,Jeep,4.8,2166
Koshi Barrage,Sirubari,Taxi,5.6,4271
Koshi Barrage,Phulchowki Botanical Garden,Bus,4.8,1103
Koshi Barrage,Numbur Cheese Circuit,Bus,4.5,1120
Koshi Barrage,Dhorpatan Hunting Reserve,Jeep,4.4,1891
Koshi Barrage,Charikot,Taxi,5.5,3405
Koshi Barrage,Siruwa Pokhari,Jeep,5.5,2223
Koshi Barrage,Tatopani Hot Spring,Taxi,4.6,3659
Koshi Barrage,Piple Hill,Flight,1.1,3428
Koshi Barrage,Kali Gandaki Gorge,Jeep,7.7,4314
Koshi Barrage,Tilicho Lake,Bus,7.9,2164
Koshi Barrage,Bhanbhane Pokhari,Taxi,7.3,5169
Koshi Barrage,Simbuwa Khola Valley,Taxi,6.1,3728
Koshi Barrage,Langtang National Park,Taxi,7.3,5064
Koshi Barrage,Kangchenjunga Base Camp,Taxi,6.7,5106
Koshi Barrage,Bhotekoshi Bungee Jump,Bus,6.5,1524
Koshi Barrage,Bhujung Village,Bus,6.3,1344
Koshi Barrage,Manakamana Temple,Bus,8.7,2383
Koshi Barrage,Sandakpur,Bus,7.0,1466
Koshi Barrage,Shuklaphanta National Park,Bus,7.3,2145
Koshi Barrage,Chobhar Gorge,Bus,6.9,1789
Koshi Barrage,Belbari Forest,Bus,8.3,1879
Koshi Barrage,Tengboche Monastery,Bus,8.8,2260
Koshi Barrage,Namche Bazaar,Bus,8.9,1927
Koshi Barrage,Ruru Kshetra,Bus,8.5,2170
Koshi Barrage,Chhahara Waterfall,Jeep,8.3,4412
Koshi Barrage,Maya Devi Temple,Taxi,3.6,2244
