place_id,name,location,district,category,travel_style,weather,budget_level,description,img_url
annapurna_trek,Annapurna Base Camp,,kaski,adventure; lake,trekking,cold,high,Trek through rhododendron forests and traditional villages to reach the spectacular amphitheater of peaks at 4130m elevation.,https://www.mountainphotography.com/images/xl/20141119-ABC-Welcome-Sign.jpg
everest_base,Everest Base Camp,,Solukhumbu,trekking;adventure,adventure,cold,low,Ultimate trekking destination leading to the base of world's highest peak through Sherpa villages and Buddhist monasteries.,https://b1088268.smushcdn.com/1088268/wp-content/uploads/2021/12/everest-base-camp-trek-1-scaled-1.jpg?lossy=2&strip=1&webp=1
pashupatinath,Pashupatinath Temple,Kathmandu,Kathmandu,cultural,cultural,sunny,low,Sacred Hindu temple complex along Bagmati River featuring ancient architecture and spiritual ceremonies.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/4a/95/ac/pashupatinath-is-the.jpg?h=500&s=1&w=900
bouddhanath,Boudhanath Stupa,Kathmandu,Kathmandu,historic; cultural,cultural,sunny,low,One of world's largest stupas and important Tibetan Buddhist pilgrimage site with vibrant monastery life.,https://lp-cms-production.imgix.net/2019-06/813869da84003e9ab623499ae2465723-bodhnath-stupa.jpg
swayambhu,Swayambhunath Temple,Kathmandu,Kathmandu,"historic,;cultural",cultural,sunny,meduim,Ancient hilltop temple complex known as Monkey Temple offering panoramic valley views and Buddhist heritage.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Swayambhunath_2018.jpg/1200px-Swayambhunath_2018.jpg
gorkha,Gorkha Durbar,Gorkha,Gorkha,historic;cultural,cultural,warm,high,Historic palace birthplace of King Prithvi Narayan Shah founder of modern Nepal with architectural significance.,https://nepaltraveller.com/images/main/1682496273.sidetrackimageimage_750x_61facb75a279b.jpg
mustang,Mustang,Mustang,Mustang,"adventure,trekking","adventure,trekking",cold,high,Former forbidden kingdom featuring Tibetan culture ancient caves monasteries and dramatic desert landscapes.,https://snowcattravel.wordpress.com/wp-content/uploads/2019/07/charang-upper-mustang.jpeg
manag,Manang,Mangang,Mangang,"adventure,trekking","adventure,trekking",cold,high,High altitude village on Annapurna Circuit offering acclimatization stunning views and Tibetan Buddhist culture.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Time-Tested_Majesty_Bhraka_Village_at_Manang%2C_Nepal.jpg/2560px-Time-Tested_Majesty_Bhraka_Village_at_Manang%2C_Nepal.jpg
langtang,Langtang Valley,Rasuwa,Rasuwa,trekking; adventure; nature,trekking,cold,high,Beautiful valley trek through rhododendron forests Tamang villages and close-up Himalayan peak views.,https://nepalecoadventure.com/wp-content/uploads/2019/02/Langtang-Village-Before-and-After-the-Earthquake.jpg
gandruk,Ghandruk,Kaski,Kaski,trekking; adventure; nature,trekking,cold,meduim,Traditional Gurung village with stone houses terraced fields and spectacular Annapurna mountain views.,https://upload.wikimedia.org/wikipedia/commons/7/7a/Ghandruk_HDR6.jpg
gosaikundha,Gosaikunda,Rasuwa,Rasuwa,trekking; adventure;nature,trekking,cold,medium:high,Sacred alpine lake complex important to both Hindu and Buddhist pilgrims at high altitude setting.,https://www.nepalindependentguide.com/wp-content/uploads/2025/01/Dudh-kunda-treks.gif
dhampus,Dhampus,Kaski,Kaski,relaxation,relaxation,cold,low,Peaceful village offering panoramic Himalayan views traditional lifestyle and short trekking opportunities.,https://cms.altitudehimalaya.com/media/Blog/Travel-Guides/Dhampus-Village-of-Nepal.jpeg
dhulikhel,Dhulikhel,Kavrepalanchok,Kavrepalanchok,relaxation,relaxation,sunny,low,Historic Newari town famous for sunrise views over Himalayas traditional architecture and cultural heritage.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a1/6c/59/photo0jpg.jpg?h=1400&s=1&w=1400
namobuddha,Namo Buddha,Kavrepalanchok,Kavrepalanchok,cultural,cultural,sunny,low,Sacred Buddhist pilgrimage site where Buddha offered his body to hungry tigress in previous incarnation.,https://whitehilladventure.com/wp-content/uploads/2019/02/namo.jpg
changu_narayan,Changu Narayan,Bhaktapur,Solukhumbu,cultural,cultural,sunny,meduim,Ancient Hindu temple dedicated to Lord Vishnu featuring exquisite stone and wood carvings from 4th century.,https://nht-api.nepalhikingteam.com/media/blog/banner/changu-narayan-temple.jpg
dolpo,Dolpo,Dolpa,Dolpa,adventure;trekking,adventure;trekking,cold,high,Remote trans-Himalayan region featuring Tibetan culture Shey Phoksundo Lake and pristine wilderness.,https://www.sakuratrek.com/wp-content/uploads/2017/11/upper-dolpo.jpg
jomson,Jomsom,Mustang,Mustang,trekking;adventure; nature,adventure,cold,high,Remote trans-Himalayan region featuring Tibetan culture Shey Phoksundo Lake and pristine wilderness.,https://media.nepaltrekadventures.com/uploads/img/jomsom-banner.webp
mktinath,Muktinath,Jomsom,Mustang,temple;historic,trekking,cold,high,Sacred pilgrimage site for both Hindus and Buddhists featuring eternal flame and 108 water spouts.,https://peregrinetreks.com/wp-content/uploads/2024/09/Hindu-Temple-Muktinath.webp
kanchenjunga,Kanchenjunga Base Camp,,,adventure;trekking,adventure;trekking,cold,high,Challenging trek to base of world's third highest peak featuring remote valleys glaciers and mountain communities.,https://www.adventurealternative.com/wp-content/uploads/2024/07/kanch-bc.jpg.webp
maleku_base_camp,Makalu Base Camp,,Solukhumbu,adventure;trekking,adventure;trekking,cold,high,Remote trekking destination to base of world's fifth highest peak through pristine wilderness and diverse ecology.,https://itrekeverest.com/wp-content/uploads/2010/09/makalu-3.jpg
helambu,Helambu,Sindhupalchok,Sindhupalchok,adventure;trekking,adventusc;trekking,cold,high,Scenic trekking region known for Hyolmo culture rhododendron forests and relatively easy mountain access.,https://www.natureloverstrek.com/pagegallery/everything-you-need-to-know-about-helambu-%7C-interesting-things-about-helambu-region48.jpg
sauraha,Sauraha,Chitwan,Chitwan,relaxation;cultural;adventure,cultural,sunny,meduim,Popular tourist hub for Chitwan National Park offering jungle safaris elephant rides and cultural programs.,https://i0.wp.com/ghumante.com/wp-content/uploads/2015/09/4.jpg?resize=960%2C636
shivapuri,Shivapuri National Park,Kathmandu,Kathmandu,trekking; viewpoint,trekking,sunny,meduim;low,Nearest national park to Kathmandu offering hiking trails diverse flora fauna and watershed protection.,https://www.snnp.gov.np/assets/shivapuri_NP-C1pbcCqz.jpg
pulchoki,Phulchoki Hill,Lalitpur,Lalitpur,relaxation,relaxation,cold,low,Highest hill around Kathmandu Valley famous for diverse bird species wildflowers and mountain views.,https://media.tacdn.com/media/attractions-splice-spp-674x446/0a/07/f0/02.jpg
dakshinkali,Dakshinkali Temple,Kathmandu,Kathmandu,cultural;temple,cultural,sunny,medium,Hindu temple dedicated to Goddess Kali known for animal sacrifices especially during Saturday rituals.,https://cms.holidaystonepal.in/media/Blogs/Dakshinkali-Temple/dakshinkali-temple.png
thankot,Thankot,Kathmandu,Kathmandu,relaxation;trekking,relaxation,sunny,medium,Hill station offering escape from city life with hiking trails mountain views and peaceful environment.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/23/f5/30/chandragiri-hills-thankot.jpg?h=1400&s=1&w=1400
budhanilkantha,Budhanilkantha,Kathmandu,Kathmandu,cultural;temple,cultural,sunny,medium,Famous for large stone sculpture of sleeping Vishnu lying on serpent bed in water pool.,http://budhanilkanthatemple.org.np/assets/template/img/banner-img1.jpg
tengboche,Tengboche Monastery,,trek,cultural,cultural,cold,high,Famous monastery on Everest trek offering spiritual experience mountain views and Buddhist culture immersion.,https://cms.altitudehimalaya.com/media/Blog/Travel-Guides/Tengboche_Monastery.png
namche_bazar,Namche Bazaar,Solukhumbu,Solukhumbu,trekking;adventure,,cold,medium,Sherpa capital and acclimatization stop on Everest trek featuring markets lodges and mountain culture.,https://images.travelandleisureasia.com/wp-content/uploads/sites/2/2023/11/10082949/Feature-13-1600x900.jpg
dingboche,Dingboche,Solukhumbu,Solukhumbu,trekking;adventure,adventure,cold,high,High-altitude village on Everest trek known for stone-walled fields yak herding and mountain acclimatization.,https://res.cloudinary.com/images-swotahtravel-com/image/upload/v1695366384/blog%20images/dingboche.jpg
lobuche,Lobuche,Solukhumbu,Solukhumbu,trekking;adventure;nature,trekking,cold,high,Last major stop before Everest Base Camp offering basic accommodation and stunning peak views.,https://i0.wp.com/www.domonthego.com/wp-content/uploads/2017/10/EBC_Day_10_Lobuche_to_Gorakshep_DomOnTheGo-45_new.jpg?resize=1080%2C675&ssl=1
kalapattar,kala Pattar,Solukhumbu,Solukhumbu,trekking;adventure; nature,relaxation,cold,high,Famous viewpoint offering best close-up views of Mount Everest without technical climbing requirements.,https://www.acethehimalaya.com/wp-content/uploads/2025/01/kalapatthar-the-best-viewpoint-to-witness-mount-Everest.jpg.webp
island_peal,Island Peak Base Camp,Solukhumbu,Solukhumbu,trekking;adventure; nature,trekking,cold,high,Base camp for Island Peak climbing offering mountaineering experience and spectacular Himalayan scenery.,https://images.squarespace-cdn.com/content/v1/55d729cfe4b00ab3960e7989/1579219545449-ERNEAGZTG1JERP1K7O8C/6550740747_5c53480b49_o.jpg
mardi_himal,Mardi Himal Base Camp,kaski,kaski,trekking; adventure; nature,adventure,cold,high,Popular sunrise viewpoint accessible through short trek offering panoramic Annapurna and Dhaulagiri ranges.,https://www.farouttrek.com/wp-content/uploads/2022/02/20220413_060357-scaled-e1650699421249-690x1024-1.jpg
poon_hill,Poon Hill,Kaski,Kaski,trekking;adventure;nature,adventure,cold,meduim,Popular sunrise viewpoint accessible through short trek offering panoramic Annapurna and Dhaulagiri ranges.,https://miro.medium.com/v2/resize%3Afit%3A850/1%2AVLVv6r4ISNyGBHGxGNxKgA.jpeg
ghorepani,Ghorepani,Kaski,Kaski,cultural,cultural,cold,meduim,Traditional Magar village serving as base for Poon Hill trek with rhododendron forests and mountain views.,https://travelumpire.com/wp-content/uploads/2022/06/Ghorepani-Trek.jpg
ulleri,Ulleri,kaski,kaski,relaxation,relaxation,cold,meduim,Scenic village on Annapurna Circuit known for stone steps terraced fields and traditional mountain architecture.,https://miro.medium.com/v2/resize%3Afit%3A1000/0%2AUoxdiBkyC5iuAimw.jpg
chhomrong,Chhomrong,Kaski,kaski,cultural,cultural,cold,meduim,Beautiful Gurung village serving as gateway to Annapurna Sanctuary with stunning mountain panoramas.,https://wideangleadventure.com/wp-content/uploads/2013/03/Day-5-Chomrong-to-Bamboo-1-of-13-1024x683.jpg
chitlang,Chitlang,Makwanpur,Makwanpur,relaxation,relaxation,sunny,low,"A picturesque, traditional Newari village nestled in a valley southwest of Kathmandu, known for its organic farms, pear orchards, and peaceful environment",https://www.chitlang.com/wp-content/uploads/2023/03/chitlang-village.jpg
deurali,Deurali,Kaski,Kaski,adventure;trekking,adventuhi;altitude,cold,meduim,High-altitude stop on Annapurna Base Camp trek featuring alpine environment and mountain lodge accommodation.,https://wideangleadventure.com/wp-content/uploads/2013/03/Day-6-Bamboo-to-Deurali-6-of-12-1024x683.jpg
macchapuchhrea_camp,Machhapuchhre Base Camp,Kaski,Kaski,trekking;adventure; nature,trekking,cold,high,Base camp offering closest approach to sacred Fishtail peak with dramatic mountain scenery and glacial views.,https://live.staticflickr.com/2826/33513640340_1cd0f37a6b_h.jpg
thorong_phedi,Thorong Phedi,Mustang,Mustang,trekking; adventure; nature,trekking,cold,high,Last stop before crossing Thorong La Pass on Annapurna Circuit providing basic mountain accommodation.,https://www.got2globe.com/wp-content/uploads/2022/07/SWO0789.jpg
thorong_la,Thorong La Pass,Mustang,Mustang,trekking;adventure; nature,trekking,cold,high,High mountain pass at 5416m connecting Manang and Mustang districts on classic Annapurna Circuit trek.,https://himalayantrekkers.com/_next/image?q=75&url=https%3A%2F%2Fapi.himalayantrekkers.com%2Fapi%2Ffile-upload%2Ftrips%252FMarch2021%252Fthorong-La-pass--trek-Annapurna-region.jpg&w=3840
kagbeni,Kagbeni,Mustang,Mustang,cultural,cultural,cold,high,Medieval village at confluence of rivers serving as gateway to restricted Upper Mustang region.,https://nepaltraveller.com/images/main/1607422268.sidetrackimagekagbeni%20thumbnail.jpg
lomanthang,Lo Manthang,Mustang,Mustang,cultural,cultural,cold,high,Ancient walled capital of Upper Mustang featuring Tibetan culture medieval architecture and royal palace.,https://tourism.gandaki.gov.np/wp-content/uploads/2021/05/lo-manthang.jpg
charang,Charang,Mustang,Mustang,cultural, cultural,cold,high,Historic village in Upper Mustang known for monastery cave dwellings and traditional Tibetan lifestyle.,https://www.uppermustangtour.com/wp-content/uploads/2023/02/Ghami-village.jpg
ghami,Ghami,Mustang,Mustang,cultural,cultural,cold,high,Remote village featuring longest mani wall in Nepal ancient monastery and traditional mustangi architecture.,https://fis-api.nepalkameleonholidays.com/media/attachments/tsarang-charang-village-tour%20%284%29.jpg
syangboche,Syangboche,Solukhumbu,Solukhumbu,cultural,cultural,cold,high,Small airstrip village near Namche Bazaar offering mountain flights and access to Everest region.,https://www.natureloverstrek.com/pagegallery/all-you-need-to-know-about-syangboche-%7C-interesting-things-about-syangboche68.JPG
lukla,Lukla,Solukhumbu,Solukhumbu,trekking;adventure; nature,trekking,cold,high,Gateway to Everest region featuring famous Tenzing-Hillary Airport and starting point for most Everest treks.,https://media.nepaltrekadventures.com/uploads/media/Blog/History%20of%20Lukla%20Airport/Lukla-villag.jpg
phakding,Phakding,Solukhumbu,Solukhumbu,trekking;adventure; nature,trekking,cold,high,First major stop on Everest trek offering comfortable lodges riverside location and gentle introduction to Khumbu.,https://awaywegomk.com/wp-content/uploads/2021/06/20180507_071051.jpg
monjo,Monjo,Solukhumbu,Solukhumbu,trekking;adventure; nature,adventure,cold,high,Village at entrance to Sagarmatha National Park with checkpoint suspension bridges and mountain lodge facilities.,https://www.natureloverstrek.com/pagegallery/all-you-need-to-know-about-monjo-village-%7C-interesting-things-about-monjo77.jpg
thyangboche,Thyangboche,Solukhumbu,Solukhumbu,cultural;trekking,cultural,cold,high,Village featuring famous monastery spiritual atmosphere and panoramic views of Everest Lhotse and Ama Dablam.,https://cms.altitudehimalaya.com/media/Blog/Travel-Guides/tengboche_in_nepal.png
pang_boche,Pangboche,Solukhumbu,Solukhumbu,cultural,cultural,cold,high,Traditional Sherpa village featuring ancient monastery yak pastures and authentic mountain culture experience.,https://www.acethehimalaya.com/wp-content/uploads/2025/03/pangboche-village-picturesque-himalayan-settlement.jpg.webp
pheriche,Pheriche,Solukhumbu,Solukhumbu,relaxation,relaxation,cold,high,High-altitude village with medical post serving as acclimatization stop with mountain rescue facilities.,https://www.footprintadventure.com/uploads/media/Everest-Base-Camp/pheriche%20villagee.jpg
gorak_she,Gorak Shep,Solukhumbu,Solukhumbu,relaxation,relaxation,cold,high,Last settlement before Everest Base Camp featuring basic accommodation and staging point for summit attempts.,https://highlandexpeditions.com/wp-content/uploads/2025/04/Everything-You-Need-to-know-About-Gorakshep-Village-1.webp
chukung,Chukung,Solukhumbu,Solukhumbu,cultural,cultural,cold,high,Small village in beautiful valley offering alternative route climbing peaks and stunning mountain amphitheater.,https://images.fineartamerica.com/images-medium-large-5/view-from-chukhung-ri-himalayas-nepal-feng-wei-photography.jpg
ama,Ama Dabkam Base Camp,Solukhumbu,Solukhumbu,trekking; adventure;nature,trekking,cold,high,Base camp for Ama Dablam expedition offering technical climbing access and spectacular mountain scenery.,https://adventureconsultants.com/uploads/Himalaya/Ama-Dablam/AD-SL.jpg
gokyo,Gokyo,Solukhumbu,Solukhumbu,relaxation;nature,adventure,cold,high,Village beside pristine glacial lakes offering alternative Everest region trek and Gokyo Ri viewpoint access.,https://media.istockphoto.com/id/649649452/photo/sherpa-village-teahouses-glaciers-himalayan-mountain-peaks-gokyo-nepal.jpg?s=612x612&w=0&k=20&c=E8S0_JptwCejhIhl0ABSHq_nEb_tD9U5fro3199xTqs=
rengo_la,Rengo La Pass,Solukhumbu,Solukhumbu,trekking;adventure;nature,trekking,cold,high,"Rengo La is a mountain pass in Nepal, known for its scenic trekking routes and panoramic Himalayan views",https://www.halfwayanywhere.com/wp-content/uploads/2018/09/Nepal-Three-Passes-Renjo-La-Trail-Start.jpg
thame,Thame,Solukhumbu,Solukhumbu,cultural,cultural,cold,high,Traditional Sherpa village off main Everest trail featuring monastery authentic culture and peaceful mountain setting.,https://www.himalayan-foundation.org/perch/resources/blog/thame-hostel-top-sm-1.jpg
churiyamai,Churiyamayi,Hetauda,Makwanpur,cultural,cultural,cold,meduim,Churiyamai is a Hindu temple in southern Nepal dedicated to the goddess believed to protect travelers and ensure their safety on the roads.,https://www.landnepal.com/wp-content/uploads/2021/07/Churiyamai.jpg
smarak,Sahid Smarak,Hetauda,Makwanpur,cultural,cultural,cold,meduim;low,Large Sherpa village near Namche featuring Hillary School monastery and claimed Yeti scalp display.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Sahid_Smarak%2C_Hetauda.jpg/2560px-Sahid_Smarak%2C_Hetauda.jpg
khumjung,Khumjung,Solukhumbu,Solukhumbu,cultural;relaxation,cultural,cold,high,Twin village with Khumjung featuring Hillary Hospital traditional Sherpa lifestyle and mountain panoramas.,https://www.natureloverstrek.com/pagegallery/interesting-things-about-khunde-village-%7C-all-you-need-to-know-about-khunde82.JPG
khunde,Khunde,Solukhumbu,Solukhumbu,cultural,cultural,cold,high,"Khunde is a Sherpa village in the Khumbu region of Nepal, known for its traditional culture, stunning Himalayan views, and the historic Khunde Hospital founded by Sir Edmund Hillary.",https://www.natureloverstrek.com/pagegallery/interesting-things-about-khunde-village-%7C-all-you-need-to-know-about-khunde82.JPG
cho_la_pass,Cho La Pass,Solukhumbu,Solukhumbu,adventure,adventure,cold,high,Challenging high-altitude pass connecting Gokyo and Everest Base Camp valleys requiring glacier travel experience.,https://res.cloudinary.com/images-swotahtravel-com/image/upload/v1695275165/blog%20images/cho_la_pass_sign_board.jpg
sarangkot,Sarangkot,Pokhara,Kaski,relaxation,relaxation,cold,meduim,"A famous hill station near Pokhara, renowned for its spectacular sunrise views over the Annapurna and Dhaulagiri mountain ranges",https://www.glorioushimalaya.com/wp-content/uploads/2024/10/Sarangkot-View-Point.webp
bhedetar,Bhedetar,Dhankuta,Dhankuta,relaxation,relaxation,cold,meduim,"A popular hill station in Eastern Nepal, near Dharan, known for its cooler climate, lush green hills, and panoramic views of the Terai plains and sometimes even Mount Everest on clear days",https://upload.wikimedia.org/wikipedia/commons/1/13/Vedetar_2019_web_small.jpg
makwanpur_gadi,Makwanpur Gadhi,Hetauda,Makwanpur,cultural;relaxation,relaxation;cultural,sunny,low,"A historical fort located in Makwanpur District, with strategic importance during Nepal's ancient and medieval periods.",https://www.landnepal.com/wp-content/uploads/2021/06/makawanpurGadhi_LN.jpg
sindhuli,Sindhuli Gadhi,Sindhuli,Sindhuli,cultural,cultural,sunny,medium,"A historically significant fort from the Anglo-Nepalese War, known for the battle where Nepali forces defeated the British",https://assets-cdn.kathmandupost.com/uploads/source/news/2020/miscellaneous/shutterstock_1567161847.jpg
devgat,Devgat,Tanahu,Nawalparasi,cultural,cultural,sunny,meduim,A sacred Hindu pilgrimage site located at the confluence of the Kali Gandaki and Trisuli rivers.,https://www.chitwantourism.com/wp-content/uploads/2023/08/devghat-dham.jpg
khulekhani,Khulekhani Dham,Khulekhani,Makwanpur,relaxation,relaxation,warm,meduim,"Home to the Kulekhani Dam, which creates the large artificial Indrasarobar Lake",https://nepaltraveller.com/uploads/destination/kulekhani-camping-fishing-and-a-manmade-lake.jpg
bhotekhosi,Bhotekhosi River,Sindhupalchok,Sindhupalchowk,adventure,adventure,cold,meduim,"A Himalayan river known for white-water rafting, bungee jumping, and adventure sports near the Tibet-Nepal border.",https://www.mountainmarttreks.com/public/uploads/Bhotekoshi.jpg
kakani,kakani,Nuwakot,Nuwakot,relaxtion,relaxation,cold,meduim,"A scenic hill station northwest of Kathmandu, famous for its breathtaking views of the Ganesh Himal range and other Himalayan peaks.",https://www.thirdrockadventures.com/assets-back/images/trip/kakani.jpgM9h.jpg
ramtoli,Ramtoli,Beni,Myagdi,cultural,cultural,cold,high,Avillage in himlayan region.,https://missionhimalayatreks.com/wp-content/uploads/2023/01/Popular-Village-Trekking-in-Nepal.webp
dhorpatan,Dhorpatan Hunting Reserve,Baglung,Myagdi,adventure,wildlife,cold,high,"Nepal's only hunting reserve, located in the western Dhaulagiri Himal range. Beyond regulated hunting",https://www.footprintadventure.com/uploads/media/Dhorpatan%20Hunting%20Reserve/Dhorpatan%20HUnting%20Reserve.jpg
panchase,Panchase Trek,Annapurna region,Kaski;Syanga,adventure,adventure,cold,high,"A beautiful and culturally significant hill west of Pokhara, known for its pristine natural environment, diverse biodiversity",https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/0a/79/17/22.jpg
bagra,Bagra,Manang,Manang,cultural,cultural,cold,high,Traditional village in Manang district known for ancient monastery Tibetan culture and mountain lifestyle.,https://media02.stockfood.com/largepreviews/MjIxMjA3MjYxMQ%3D%3D/71357181-The-traditional-village-of-Braga-in-the-Manang-Valley-Nepal-Himalayas-Asia.jpg
ghale_gaun,Ghale Gaun,Lamjung,Lamjung,cultural,cultural,warm,meduim,Model eco-tourism village showcasing Gurung culture traditional lifestyle and organic farming practices.,https://www.natureloverstrek.com/pagegallery/interesting-things-about-ghale-gaun-in-lamjung-%7C-everything-you-need-to-know-about-ghale-gaun64.jpg
tansen,Tansen,Palpa,Palpa,cultural,cultural,cold,meduim,Historic hill town known for traditional Newari architecture metalwork and panoramic mountain views.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Evening_View_of_Tansen.jpg/1200px-Evening_View_of_Tansen.jpg
begnas_lake,Begnas Lake,Pokhara,Kaski,relaxation;adventure,adventure;relaxation,cold;sunny,medium,Peaceful lake near Pokhara perfect for kayaking fishing and enjoying serene natural surroundings.,https://nepaltraveller.com/images/main/1611908148.sidetrackimage1024px-Begnas_Lake_Bhuwan.jpg
